original_country,original_city,original_date,description,country_modified_for_geo,city_modified_for_geo,date,sec_id,sec_name,id,glat,glon,gcity,gcountry,isGeocoded,split_added,original_line,start_time,end_time,start_time_form,end_time_form,elapsed_days
New Zealand,Auckland,1-Aug-98,Met with Prime Minister Shipley.,New Zealand,Auckland,,sec-25,Madeleine Korbel Albright,1996,-36.8484597,174.7633315,Auckland,New Zealand,1,,,9.01944E+11,9.0203E+11,Sat Aug 01 1998 00:00:00 GMT-0400 (EDT),Sun Aug 02 1998 00:00:00 GMT-0400 (EDT),1
Italy,Rome,7-Aug-98,Was to have attended wedding of Spokesman James Rubin; returned to Washington after bombings of U.S. Embassies in Kenya and Tanzania.,Italy,Rome,,sec-25,Madeleine Korbel Albright,1997,41.9027835,12.4963655,Rome,Italy,1,,,9.02462E+11,9.02549E+11,Fri Aug 07 1998 00:00:00 GMT-0400 (EDT),Sat Aug 08 1998 00:00:00 GMT-0400 (EDT),1
Germany,"Ramstein Air Force Base, Landstuhl","August 12���13, 1998",Visited Embassy personnel wounded in the bombings in Kenya and Tanzania; accompanied the dead back to the United States.,Germany,Ramstein Air Force Base,,sec-25,Madeleine Korbel Albright,1998,49.4400412,7.597129,Ramstein-Miesenbach,Germany,1,,,9.02894E+11,9.02981E+11,Wed Aug 12 1998 00:00:00 GMT-0400 (EDT),Thu Aug 13 1998 00:00:00 GMT-0400 (EDT),1
Tanzania,Dar es Salaam,18-Aug-98,Visited site of the U.S. Embassy.,Tanzania,Dar es Salaam,,sec-25,Madeleine Korbel Albright,1999,-6.792354,39.2083284,Dar es Salaam,Tanzania,1,,,9.03413E+11,9.03499E+11,Tue Aug 18 1998 00:00:00 GMT-0400 (EDT),Wed Aug 19 1998 00:00:00 GMT-0400 (EDT),1
Kenya,Nairobi,18-Aug-98,Visited site of the U.S. Embassy and met with President Moi.,Kenya,Nairobi,,sec-25,Madeleine Korbel Albright,2000,-1.2920659,36.8219462,Nairobi,Kenya,1,,,9.03413E+11,9.03499E+11,Tue Aug 18 1998 00:00:00 GMT-0400 (EDT),Wed Aug 19 1998 00:00:00 GMT-0400 (EDT),1
Croatia,Zagreb,"August 29���30, 1998",Met with President Tudjman and Croatian politicians and journalists.,Croatia,Zagreb,,sec-25,Madeleine Korbel Albright,2001,45.8150108,15.981919,Zagreb,Croatia,1,,,9.04363E+11,9.0445E+11,Sat Aug 29 1998 00:00:00 GMT-0400 (EDT),Sun Aug 30 1998 00:00:00 GMT-0400 (EDT),1
Bosnia-Herzegovina,"Bijeljina, Sarajevo, Tuzla","August 30���31, 1998","Met with Bosnian, Bosnian Serb, and NATO officials.",Bosnia-Herzegovina,Bijeljina,,sec-25,Madeleine Korbel Albright,2002,44.7569511,19.2150224,Bijeljina,Bosnia and Herzegovina,1,,,9.0445E+11,9.04536E+11,Sun Aug 30 1998 00:00:00 GMT-0400 (EDT),Mon Aug 31 1998 00:00:00 GMT-0400 (EDT),1
Russia,Moscow,"August 31���September 3, 1998",Attended U.S.-Russian Summit Meeting.,Russia,Moscow,,sec-25,Madeleine Korbel Albright,2003,55.755826,37.6173,Moscow,Russia,1,,,9.04536E+11,9.04795E+11,Mon Aug 31 1998 00:00:00 GMT-0400 (EDT),Thu Sep 03 1998 00:00:00 GMT-0400 (EDT),3
Austria,Vienna,3-Sep-98,Official visit. Attended U.S.-European Union ministerial meeting and addressed the OSCE Permanent Council.,Austria,Vienna,,sec-25,Madeleine Korbel Albright,2004,48.2081743,16.3738189,Vienna,Austria,1,,,9.04795E+11,9.04882E+11,Thu Sep 03 1998 00:00:00 GMT-0400 (EDT),Fri Sep 04 1998 00:00:00 GMT-0400 (EDT),1
Israel,Jerusalem,"October 6���7, 1998",Discussed the Middle East peace process with Prime Minister Netanyahu.,Israel,Jerusalem,,sec-25,Madeleine Korbel Albright,2005,31.768319,35.21371,Jerusalem,Israel,1,,,9.07646E+11,9.07733E+11,Tue Oct 06 1998 00:00:00 GMT-0400 (EDT),Wed Oct 07 1998 00:00:00 GMT-0400 (EDT),1
Palestinian Authority,"Jericho, Erez",6-Oct-98,Discussed the Middle East peace process with Chairman Arafat.,Palestinian Authority,Jericho,,sec-25,Madeleine Korbel Albright,2006,31.8611058,35.4617583,Jericho,,1,,,9.07646E+11,9.07733E+11,Tue Oct 06 1998 00:00:00 GMT-0400 (EDT),Wed Oct 07 1998 00:00:00 GMT-0400 (EDT),1
Belgium,Brussels,"October 7���8, 1998",Discussed the Kosovo crisis with NATO officials.,Belgium,Brussels,,sec-25,Madeleine Korbel Albright,2007,50.8503463,4.3517211,,Belgium,1,,,9.07733E+11,9.07819E+11,Wed Oct 07 1998 00:00:00 GMT-0400 (EDT),Thu Oct 08 1998 00:00:00 GMT-0400 (EDT),1
United Kingdom,London,8-Oct-98,Discussed the Kosovo crisis with Contact Group Foreign Ministers.,United Kingdom,London,,sec-25,Madeleine Korbel Albright,2008,51.5073509,-0.1277583,London,United Kingdom,1,,,9.07819E+11,9.07906E+11,Thu Oct 08 1998 00:00:00 GMT-0400 (EDT),Fri Oct 09 1998 00:00:00 GMT-0400 (EDT),1
Malaysia,Kuala Lumpur,"November 14���15, 1998",Attended APEC Ministerial Meeting and met with the wife of former Deputy Prime Minister Anwar Ibrahim.,Malaysia,Kuala Lumpur,,sec-25,Madeleine Korbel Albright,2009,3.139003,101.686855,Kuala Lumpur,Malaysia,1,,,9.1102E+11,9.11106E+11,Sat Nov 14 1998 00:00:00 GMT-0500 (EST),Sun Nov 15 1998 00:00:00 GMT-0500 (EST),1
Belgium,Brussels,"December 8���9, 1998","Attended NATO Ministerial meeting, and ministerial meetings of the Euro-Atlantic Partnership Council, NATO-Russia Permanent Joint Council, and NATO-Ukraine Commission.",Belgium,Brussels,,sec-25,Madeleine Korbel Albright,2010,50.8503463,4.3517211,,Belgium,1,,,9.13093E+11,9.1318E+11,Tue Dec 08 1998 00:00:00 GMT-0500 (EST),Wed Dec 09 1998 00:00:00 GMT-0500 (EST),1
France,"Lyon, Paris","December 9���10, 1998",Announced opening of the American Presence Post in Lyon. Met with President Chirac and senior French officials.,France,Lyon,,sec-25,Madeleine Korbel Albright,2011,45.764043,4.835659,Lyon,France,1,,,9.1318E+11,9.13266E+11,Wed Dec 09 1998 00:00:00 GMT-0500 (EST),Thu Dec 10 1998 00:00:00 GMT-0500 (EST),1
Israel,"Jerusalem, Masada","December 12���15, 1998",Accompanied President Clinton.,Israel,"Jerusalem, Masada",,sec-25,Madeleine Korbel Albright,2012,,,,,,,1,9.13439E+11,9.13698E+11,Sat Dec 12 1998 00:00:00 GMT-0500 (EST),Tue Dec 15 1998 00:00:00 GMT-0500 (EST),3
Israel,"Jerusalem, Masada","December 12���15, 1998",Accompanied President Clinton.,Israel,Jerusalem,,sec-25,Madeleine Korbel Albright,2013,31.768319,35.21371,Jerusalem,Israel,1,1,,9.13439E+11,9.13525E+11,Sat Dec 12 1998 00:00:00 GMT-0500 (EST),Sun Dec 13 1998 00:00:00 GMT-0500 (EST),1
Israel,"Jerusalem, Masada","December 12���15, 1998",Accompanied President Clinton.,Israel,Masada,,sec-25,Madeleine Korbel Albright,2014,31.315553,35.3555208,_�_� _�_�_�___� _____�_�,Israel,1,1,,9.13525E+11,9.13698E+11,Sun Dec 13 1998 00:00:00 GMT-0500 (EST),Tue Dec 15 1998 00:00:00 GMT-0500 (EST),2
Palestinian Authority,"Gaza, Erez","December 14���15, 1998","Accompanied President Clinton. On December 15, attended meeting with Prime Minister Netanyahu and Chairman Arafat.",Palestinian Authority,Gaza,,sec-25,Madeleine Korbel Albright,2015,31.3546763,34.3088255,,,1,,,9.13612E+11,9.13698E+11,Mon Dec 14 1998 00:00:00 GMT-0500 (EST),Tue Dec 15 1998 00:00:00 GMT-0500 (EST),1
Jordan,Amman,15-Dec-98,Discussed the Middle East peace process with Crown Prince Hassan.,Jordan,Amman,,sec-25,Madeleine Korbel Albright,2016,31.9453666,35.9283716,Amman,Jordan,1,,,9.13698E+11,9.13784E+11,Tue Dec 15 1998 00:00:00 GMT-0500 (EST),Wed Dec 16 1998 00:00:00 GMT-0500 (EST),1
Russia,Moscow,"January 25���27, 1999",Discussed strategic arms limitations and the Kosovo crisis with Prime Minister Primakov.,Russia,Moscow,,sec-25,Madeleine Korbel Albright,2017,55.755826,37.6173,Moscow,Russia,1,,,9.1724E+11,9.17413E+11,Mon Jan 25 1999 00:00:00 GMT-0500 (EST),Wed Jan 27 1999 00:00:00 GMT-0500 (EST),2
Egypt,Cairo,27-Jan-99,Discussed the Iraq crisis with President Mubarak and Foreign Minister Moussa.,Egypt,Cairo,,sec-25,Madeleine Korbel Albright,2018,30.0444196,31.2357116,Cairo,Egypt,1,,,9.17413E+11,9.175E+11,Wed Jan 27 1999 00:00:00 GMT-0500 (EST),Thu Jan 28 1999 00:00:00 GMT-0500 (EST),1
Saudi Arabia,"Riyadh, Prince Sultan Air Base","January 27���28, 1999",Discussed the Iraq crisis with King Fahd and senior Saudi officials and addressed U.S. military personnel.,Saudi Arabia,Riyadh,,sec-25,Madeleine Korbel Albright,2019,24.7135517,46.6752957,Riyadh,Saudi Arabia,1,,,9.17413E+11,9.175E+11,Wed Jan 27 1999 00:00:00 GMT-0500 (EST),Thu Jan 28 1999 00:00:00 GMT-0500 (EST),1
Jordan,Amman,28-Jan-99,Briefed Crown Prince Abdullah on the Iraq crisis.,Jordan,Amman,,sec-25,Madeleine Korbel Albright,2020,31.9453666,35.9283716,Amman,Jordan,1,,,9.175E+11,9.17586E+11,Thu Jan 28 1999 00:00:00 GMT-0500 (EST),Fri Jan 29 1999 00:00:00 GMT-0500 (EST),1
United Kingdom,London,"January 28���29, 1999",Attended a meeting of Contact Group Foreign Ministers.,United Kingdom,London,,sec-25,Madeleine Korbel Albright,2021,51.5073509,-0.1277583,London,United Kingdom,1,,,9.175E+11,9.17586E+11,Thu Jan 28 1999 00:00:00 GMT-0500 (EST),Fri Jan 29 1999 00:00:00 GMT-0500 (EST),1
United Kingdom,London,5-Feb-99,Attended a meeting of Contact Group Foreign Ministers.,United Kingdom,London,,sec-25,Madeleine Korbel Albright,2022,51.5073509,-0.1277583,London,United Kingdom,1,,,9.18191E+11,9.18277E+11,Fri Feb 05 1999 00:00:00 GMT-0500 (EST),Sat Feb 06 1999 00:00:00 GMT-0500 (EST),1
France,"Paris, Rambouillet","February 13���14, 1999",Met with Contact Group Foreign Ministers and with the delegations to the Kosovo peace conference.,France,Paris,,sec-25,Madeleine Korbel Albright,2023,48.856614,2.3522219,Paris,France,1,,,9.18882E+11,9.18968E+11,Sat Feb 13 1999 00:00:00 GMT-0500 (EST),Sun Feb 14 1999 00:00:00 GMT-0500 (EST),1
Mexico,Merida,15-Feb-99,Accompanied President Clinton during a State Visit.,Mexico,Merida,,sec-25,Madeleine Korbel Albright,2024,20.9673702,-89.5925857,Merida,Mexico,1,,,9.19055E+11,9.19141E+11,Mon Feb 15 1999 00:00:00 GMT-0500 (EST),Tue Feb 16 1999 00:00:00 GMT-0500 (EST),1
France,"Paris, Rambouillet","February 20���23, 1999",Attended the Kosovo peace conference.,France,"Paris, Rambouillet",,sec-25,Madeleine Korbel Albright,2025,,,,,,,1,9.19487E+11,9.19746E+11,Sat Feb 20 1999 00:00:00 GMT-0500 (EST),Tue Feb 23 1999 00:00:00 GMT-0500 (EST),3
France,"Paris, Rambouillet","February 20���23, 1999",Attended the Kosovo peace conference.,France,Paris,,sec-25,Madeleine Korbel Albright,2026,48.856614,2.3522219,Paris,France,1,1,,9.19487E+11,9.19573E+11,Sat Feb 20 1999 00:00:00 GMT-0500 (EST),Sun Feb 21 1999 00:00:00 GMT-0500 (EST),1
France,"Paris, Rambouillet","February 20���23, 1999",Attended the Kosovo peace conference.,France,Rambouillet,,sec-25,Madeleine Korbel Albright,2027,48.643868,1.829079,Rambouillet,France,1,1,,9.19573E+11,9.19746E+11,Sun Feb 21 1999 00:00:00 GMT-0500 (EST),Tue Feb 23 1999 00:00:00 GMT-0500 (EST),2
China,Beijing,"February 28���March 2, 1999",Met with President Jiang Zemin and senior Chinese officials.,China,Beijing,,sec-25,Madeleine Korbel Albright,2028,39.904211,116.407395,Beijing,China,1,,,9.20178E+11,9.20351E+11,Sun Feb 28 1999 00:00:00 GMT-0500 (EST),Tue Mar 02 1999 00:00:00 GMT-0500 (EST),2
Thailand,"Chiang Mai, Bangkok","March 2���4, 1999",Visited the Hill Tribes Institute in Chiang Mai; met with senior Thai officials.,Thailand,"Chiang Mai, Bangkok",,sec-25,Madeleine Korbel Albright,2029,,,,,,,1,9.20351E+11,9.20524E+11,Tue Mar 02 1999 00:00:00 GMT-0500 (EST),Thu Mar 04 1999 00:00:00 GMT-0500 (EST),2
Thailand,"Chiang Mai, Bangkok","March 2���4, 1999",Visited the Hill Tribes Institute in Chiang Mai; met with senior Thai officials.,Thailand,Chiang Mai,,sec-25,Madeleine Korbel Albright,2030,18.7060641,98.9817163,Chiang Mai,Thailand,1,1,,9.20351E+11,9.20437E+11,Tue Mar 02 1999 00:00:00 GMT-0500 (EST),Wed Mar 03 1999 00:00:00 GMT-0500 (EST),1
Thailand,"Chiang Mai, Bangkok","March 2���4, 1999",Visited the Hill Tribes Institute in Chiang Mai; met with senior Thai officials.,Thailand,Bangkok,,sec-25,Madeleine Korbel Albright,2031,13.7563309,100.5017651,Bangkok,Thailand,1,1,,9.20437E+11,9.20524E+11,Wed Mar 03 1999 00:00:00 GMT-0500 (EST),Thu Mar 04 1999 00:00:00 GMT-0500 (EST),1
Indonesia,Jakarta,"March 4���5, 1999",Met with senior Indonesian officials and East Timor leader Xanana Gusmao.,Indonesia,Jakarta,,sec-25,Madeleine Korbel Albright,2032,-6.1744651,106.822745,,Indonesia,1,,,9.20524E+11,9.2061E+11,Thu Mar 04 1999 00:00:00 GMT-0500 (EST),Fri Mar 05 1999 00:00:00 GMT-0500 (EST),1
